MUNICÍPIO,ESCOLA,LOCALIZAÇÃO,CÓDIGO DO INEP,TIPO,
Campo Grande,COLEGIO CBA ABC,URBANA,50029266,PARTICULAR,
Campo Grande,COLEGIO CENTRO-OESTE,URBANA,50024930,PARTICULAR,
Campo Grande,COLEGIO CLASSE A,URBANA,50031163,PARTICULAR,
Campo Grande,COLEGIO CLASSE A UNIDADE II,URBANA,50033239,PARTICULAR,
Campo Grande,COLEGIO DE ENSINO FUNDAMENTAL NOVA GERACAO,URBANA,50051806,PARTICULAR,
Campo Grande,COLEGIO DE ENSINO MEDIO NOVA GERACAO,URBANA,50030469,PARTICULAR,
Campo Grande,COLEGIO GERACAO 2001,URBANA,50028758,PARTICULAR,
Campo Grande,COLEGIO HARMONIA,URBANA,50027956,PARTICULAR,
Campo Grande,COLEGIO IMPACTO CENTRO DE ENSINO LTDA - ME,URBANA,50005120,PARTICULAR,
Campo Grande,COLEGIO JESUS CRIANCA,URBANA,50069802,PARTICULAR,
Campo Grande,COLEGIO LICEU,URBANA,50023900,PARTICULAR,
Campo Grande,COLEGIO LICEU - UNID II,URBANA,50028820,PARTICULAR,
Campo Grande,COLEGIO MARIA MONTESSORI,URBANA,50009060,PARTICULAR,
Campo Grande,COLEGIO MODELO,URBANA,50027220,PARTICULAR,
Campo Grande,COLEGIO MON GEANT ENSINO FUNDAMENTAL I E II LTDA,URBANA,50034537,PARTICULAR,
Campo Grande,COLEGIO NOTA 10 - GARCAS I,URBANA,50030116,PARTICULAR,
Campo Grande,COLEGIO NOTA 10 - GARCAS II,URBANA,50032127,PARTICULAR,
Campo Grande,COLEGIO NOTA 10 - GARCAS III,URBANA,50033000,PARTICULAR,
Campo Grande,COLEGIO NOVA DIMENSAO SS LTDA,URBANA,50028987,PARTICULAR,
Campo Grande,COLEGIO NOVA DIMENSAO UNIDADE I,URBANA,50023918,PARTICULAR,
Campo Grande,COLEGIO OSWALDO TOGNINI,URBANA,50007890,PARTICULAR,
Campo Grande,COLEGIO PINTE O SETE,URBANA,50005278,PARTICULAR,
Campo Grande,COLEGIO POLI,URBANA,50027590,PARTICULAR,
Campo Grande,COLEGIO PRIMAVERA,URBANA,50034685,PARTICULAR,
Campo Grande,COLEGIO PROFª MARIA LAGO BARCELLOS,URBANA,50007912,PARTICULAR,
Campo Grande,COLEGIO RAUL SANS DE MATOS,URBANA,50007920,PARTICULAR,
Campo Grande,COLEGIO REFFERENCIAL,URBANA,50033611,PARTICULAR,
Campo Grande,COLEGIO RUI BARBOSA,URBANA,50028510,PARTICULAR,
Campo Grande,COLEGIO RUI BARBOSA -UNIDADE AERO RANCHO,URBANA,50034162,PARTICULAR,
Campo Grande,COLEGIO SALESIANO DOM BOSCO,URBANA,50007858,PARTICULAR,
Campo Grande,COLEGIO SAO FRANCISCO EIEFM,URBANA,50026631,PARTICULAR,
Campo Grande,COLEGIO SECULO XXI EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,URBANA,50023926,PARTICULAR,
Campo Grande,COLEGIO STATUS - JARDIM PAULISTA,URBANA,50009141,PARTICULAR,
Campo Grande,COLEGIO SUCESSO,URBANA,50025139,PARTICULAR,
Campo Grande,COLEGIO TICTAC E INSTITUTO PENRABEL,URBANA,50005200,PARTICULAR,
Campo Grande,COLEGIO TIRADENTES,URBANA,50007971,PARTICULAR,
Campo Grande,COLEGIO VIDA E LUZ,URBANA,50029673,PARTICULAR,
Campo Grande,COLEGIO VIDA FELIZ,URBANA,50029657,PARTICULAR,
Campo Grande,COLEGIO VIP,URBANA,50028227,PARTICULAR,
Campo Grande,COLEGO NOTA 10 FELIZ IDADE,URBANA,50026771,PARTICULAR,
Campo Grande,CONSERVATORIO MUSICAL CAMPO GRANDE,URBANA,50028650,PARTICULAR,
Campo Grande,CORI-CENTRO DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,URBANA,50026330,PARTICULAR,
Campo Grande,CRECHE NOSSA SENHORA AUXILIADORA - I E II,URBANA,50038605,PARTICULAR,
Campo Grande,CRECHE SANTA FE,URBANA,50024990,PARTICULAR,
Campo Grande,CROE - SONHO ENCANTADO,URBANA,50071807,PARTICULAR,
Campo Grande,DESAFIO CENTRO EDUCACIONAL,URBANA,50036009,PARTICULAR,
Campo Grande,EDUCANDARIO ESPIRITA BLAISE PASCAL,URBANA,50038206,PARTICULAR,
Campo Grande,EEI TURMINHA DO PIU-PIU E EF EL - SHADAI,URBANA,50028766,PARTICULAR,
Campo Grande,EEIEF ALTERNATIVA,URBANA,50028553,PARTICULAR,
Campo Grande,EEIEF PARADIGMA,URBANA,50027352,PARTICULAR,
Campo Grande,EEIEFM GENERAL OSORIO,URBANA,50025759,PARTICULAR,
Campo Grande,ELITE MACE,URBANA,50007904,PARTICULAR,
Campo Grande,ENERGIA EEIEF,URBANA,50025058,PARTICULAR,
Campo Grande,ESC EVANGELICA PASTOR HILARIO COLOGNESI,URBANA,50025120,PARTICULAR,
Campo Grande,ESCOLA ABC JUNIOR,URBANA,50034430,PARTICULAR,
Campo Grande,ESCOLA ACOLHER,URBANA,50033085,PARTICULAR,
Campo Grande,ESCOLA AFETIVA,URBANA,50034120,PARTICULAR,
Campo Grande,ESCOLA AMARELINHA - COLEGIO YELLOW,URBANA,50007491,PARTICULAR,
Campo Grande,ESCOLA ANTONIO LUIZ PEREIRA,URBANA,50029290,PARTICULAR,
Campo Grande,ESCOLA ATITUDE,URBANA,50032755,PARTICULAR,
