"MUNICÍPIO","ZONA","CÓDIGO DO INEP","UNIDADE ESCOLAR","TIPO"
"Itaquiraí","URBANA","50020757","EE LEOPOLDO DALMOLIN","ESTADUAL"
"Itaquiraí","URBANA","50020765","EE MANOEL GUILHERME DOS SANTOS","ESTADUAL"
"Itaquiraí","URBANA","50026259","EE PROF JOSE JUAREZ RIBEIRO DE OLIVEIRA","ESTADUAL"
"Itaquiraí","RURAL","50034049","EE PROFª TERTULINA MARTINS DE OLIVEIRA","ESTADUAL"
"Ivinhema","URBANA","50020854","EE ANGELINA JAIME TEBET","ESTADUAL"
"Ivinhema","RURAL","50020986","EE JOAQUIM GONCALVES LEDO","ESTADUAL"
"Ivinhema","URBANA","50020838","EE REYNALDO MASSI","ESTADUAL"
"Ivinhema","URBANA","50020846","EE SEN FILINTO MULLER","ESTADUAL"
"Japorã","URBANA","50021028","EE JAPORA","ESTADUAL"
"Jaraguari","URBANA","50009460","EE JOSE SERAFIM RIBEIRO","ESTADUAL"
"Jaraguari","RURAL","50022377","EE ZUMBI DOS PALMARES","ESTADUAL"
"Jardim","URBANA","50014625","EE ANTONIO PINTO PEREIRA","ESTADUAL"
"Jardim","URBANA","50014641","EE CEL JUVENCIO","ESTADUAL"
"Jardim","URBANA","50014650","EE CEL PEDRO JOSE RUFINO","ESTADUAL"
"Jateí","RURAL","50021060","EE PROF JOAQUIM ALFREDO SOARES VIANNA","ESTADUAL"
"Jateí","URBANA","50021052","EE PROFª BERNADETE SANTOS LEITE","ESTADUAL"
"Juti","URBANA","50017799","EE 31 DE MARCO","ESTADUAL"
"Ladário","URBANA","50000675","EE 2 DE SETEMBRO","ESTADUAL"
"Ladário","URBANA","50000667","EE LEME DO PRADO","ESTADUAL"
"Laguna Carapã","URBANA","50017829","EE ALVARO MARTINS DOS SANTOS","ESTADUAL"
"Maracaju","URBANA","50018116","EE CAMBARAI","ESTADUAL"
"Maracaju","URBANA","50018019","EE CEL LIMA DE FIGUEIREDO","ESTADUAL"
"Maracaju","URBANA","50018027","EE MANOEL FERREIRA DE LIMA","ESTADUAL"
"Maracaju","URBANA","50018035","EE PADRE CONSTANTINO DE MONTE","ESTADUAL"
"Miranda","URBANA","50002554","EE CAETANO PINTO","ESTADUAL"
"Miranda","URBANA","50002546","EE CARMELITA CANALE REBUA","ESTADUAL"
"Miranda","URBANA","50002562","EE DONA ROSA PEDROSSIAN","ESTADUAL"
"Miranda","RURAL","50030850","EE INDIGENA CACIQUE TIMOTEO","ESTADUAL"
"Miranda","RURAL","50082809","EE INDIGENA PROF ATANASIO ALVES","ESTADUAL"
"Miranda","RURAL","50033263","EE INDIGENA CACIQUE VICENTE DE ALMEIDA","ESTADUAL"
"Mundo Novo","URBANA","50021206","EE CASTELO BRANCO","ESTADUAL"
"Mundo Novo","URBANA","50021214","EE MAL RONDON","ESTADUAL"
"Mundo Novo","URBANA","50021222","EE PROFª IOLANDA ALLY","ESTADUAL"
"Mundo Novo","URBANA","50021192","EE PROFª TEREZINHA DOS SANTOS MENDONCA","ESTADUAL"
